anchor_id,partition,event_family,signal_bar_open_utc,decision_available_utc,mode,source_status,source_reason,source,source_as_of_utc,active,filing_count,severity,base_form,category,age_hours,capacity_only,available_at_utc,accession,direction_claim
OPT-LONG-535e3b7b512a533a:1776789000000,HOLDOUT,THESIS_PRESSURE,2026-04-21T16:30:00+00:00,2026-04-21T16:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-535e3b7b512a533a:1776798900000,HOLDOUT,CONTINUATION,2026-04-21T19:15:00+00:00,2026-04-21T19:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-535e3b7b512a533a:1776798900000,HOLDOUT,CONTINUATION,2026-04-21T19:15:00+00:00,2026-04-21T19:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-535e3b7b512a533a:1776870000000,HOLDOUT,THESIS_PRESSURE,2026-04-22T15:00:00+00:00,2026-04-22T15:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-535e3b7b512a533a:1776870000000,HOLDOUT,THESIS_PRESSURE,2026-04-22T15:00:00+00:00,2026-04-22T15:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-535e3b7b512a533a:1776874500000,HOLDOUT,THESIS_PRESSURE,2026-04-22T16:15:00+00:00,2026-04-22T16:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-535e3b7b512a533a:1776874500000,HOLDOUT,THESIS_PRESSURE,2026-04-22T16:15:00+00:00,2026-04-22T16:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-535e3b7b512a533a:1776951000000,HOLDOUT,CONTINUATION,2026-04-23T13:30:00+00:00,2026-04-23T13:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-535e3b7b512a533a:1776951000000,HOLDOUT,CONTINUATION,2026-04-23T13:30:00+00:00,2026-04-23T13:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-535e3b7b512a533a:1776959100000,HOLDOUT,THESIS_PRESSURE,2026-04-23T15:45:00+00:00,2026-04-23T16:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
